Date,Open,High,Low,Close,Adj Close,Volume
2024-02-04,1826.946289,1842.276611,1815.514404,1817.493286,1817.493286,3679059832
2024-02-05,1817.555664,1827.762573,1798.706665,1814.034912,1814.034912,4308671915
2024-02-06,1813.764893,1859.980835,1801.460083,1834.168457,1834.168457,5806008792
2024-02-07,1834.221436,1897.361938,1832.038086,1882.223511,1882.223511,7554346594
2024-02-08,1882.271851,1935.137085,1863.972900,1919.538208,1919.538208,7650947303
2024-02-09,1919.803589,1952.730591,1911.402222,1917.383911,1917.383911,7877298994
2024-02-10,1917.278687,1996.312744,1917.093384,1969.684570,1969.684570,10795943834
2024-02-11,1969.791138,1992.809082,1960.453369,1980.542603,1980.542603,5126646170
2024-02-12,1980.464722,2009.405396,1975.780640,1984.353394,1984.353394,5814206238
2024-02-13,1984.359985,2109.531738,1960.092773,2105.039063,2105.039063,10313051306
2024-02-14,2106.203369,2121.074463,2062.240723,2098.579346,2098.579346,14512094463
2024-02-15,2098.182373,2217.963135,2080.677246,2210.437988,2210.437988,17067420347
2024-02-16,2210.198486,2276.097412,2199.787598,2241.782959,2241.782959,18838675410
2024-02-17,2242.657471,2271.433350,2189.836914,2224.799316,2224.799316,13535246893
2024-02-18,2224.834473,2225.939697,2161.869141,2211.294434,2211.294434,14229791794
2024-02-19,2211.323730,2295.633301,2196.408203,2282.999512,2282.999512,18520799876
2024-02-20,2284.822510,2368.694824,2267.771484,2338.440674,2338.440674,12045908640
2024-02-21,2338.863037,2401.782959,2284.952881,2386.920898,2386.920898,16112071608
2024-02-22,2388.623535,2390.187988,2277.992676,2350.302734,2350.302734,14952416237
2024-02-23,2349.704834,2394.077637,2299.642578,2346.451172,2346.451172,14262618731
2024-02-24,2345.765625,2363.437500,2294.585205,2304.148193,2304.148193,10112558872
2024-02-25,2304.388672,2368.637939,2293.321045,2360.112793,2360.112793,8440486200
2024-02-26,2360.097656,2460.480713,2353.808594,2456.690186,2456.690186,11539161288
2024-02-27,2456.557373,2521.577881,2395.968018,2506.337646,2506.337646,13800624721
2024-02-28,2505.873535,2592.923096,2498.505859,2558.608398,2558.608398,16631696157
2024-02-29,2558.114746,2751.704102,2528.723145,2674.066162,2674.066162,25973641035
2024-03-01,2674.934082,2780.745605,2617.006836,2646.699951,2646.699951,22546729432
2024-03-02,2646.736572,2728.175537,2646.883057,2713.957031,2713.957031,13336580337
2024-03-03,2714.830322,2733.466797,2685.391846,2703.682861,2703.682861,9500154962
2024-03-04,2704.334961,2759.025146,2664.308838,2757.371826,2757.371826,10776220760
2024-03-05,2756.065674,2869.251465,2720.717041,2860.948730,2860.948730,21098327054
2024-03-06,2862.126953,3008.906738,2538.246094,2798.148193,2798.148193,37550577380
2024-03-07,2797.442383,3064.978516,2758.211670,2998.799316,2998.799316,27433298100
2024-03-08,2998.080566,3075.538574,2936.307373,3023.742432,3023.742432,17526749162
2024-03-09,3024.119385,3105.664551,2976.502686,3026.957031,3026.957031,20326247802
2024-03-10,3027.002441,3072.325928,3018.089355,3045.123047,3045.123047,9275645406
2024-03-11,3045.256592,3086.579590,2957.971680,3019.067627,3019.067627,12277857022
2024-03-12,3019.102295,3191.483398,2912.460205,3172.375977,3172.375977,22472773601
2024-03-13,3172.567383,3191.662354,2998.181641,3110.790527,3110.790527,21037043728
2024-03-14,3110.784180,3190.968262,3077.600098,3129.728027,3129.728027,17207724381
2024-03-15,3129.171875,3134.660889,2919.825195,3046.742920,3046.742920,19956356050
2024-03-16,3046.520508,3084.811768,2803.843018,2933.496338,2933.496338,26313579547
2024-03-17,2934.191162,2969.832031,2724.120850,2767.150391,2767.150391,15866663637
2024-03-18,2767.283691,2886.734375,2681.777832,2861.038818,2861.038818,15661474984
2024-03-19,2860.949219,2861.104980,2715.869141,2764.299072,2764.299072,16628468487
2024-03-20,2764.583984,2787.071045,2475.903076,2482.920410,2482.920410,26866416288
2024-03-21,2483.532715,2762.339600,2405.791260,2745.266846,2745.266846,28602369232
2024-03-22,2745.754883,2809.324951,2695.174805,2759.019531,2759.019531,17545960725
2024-03-23,2758.945801,2802.572998,2583.104492,2645.574707,2645.574707,16328035269
2024-03-24,2647.086182,2724.989258,2597.505127,2647.881104,2647.881104,10508801458
2024-03-25,2647.938232,2754.318604,2619.854004,2742.307617,2742.307617,9650018238
2024-03-26,2742.505615,2893.519775,2717.079590,2841.707031,2841.707031,14722529708
2024-03-27,2841.866211,2907.572021,2806.586182,2840.945313,2840.945313,14654547877
2024-03-28,2840.793701,2905.474609,2739.199219,2774.180908,2774.180908,14863636649
2024-03-29,2774.260742,2857.106934,2743.333740,2821.666748,2821.666748,13009554130
2024-03-30,2821.443115,2838.732422,2754.053711,2781.526123,2781.526123,10069095318
2024-03-31,2781.542969,2824.395996,2764.058105,2778.348145,2778.348145,7436291117
2024-04-01,2778.353760,2894.991943,2777.792480,2886.475830,2886.475830,8308346173
2024-04-02,2886.446777,2886.691650,2724.785645,2793.733154,2793.733154,12754696783
2024-04-03,2793.564453,2795.512207,2557.943115,2605.922607,2605.922607,17554358795
2024-04-04,2605.993896,2663.243408,2549.792480,2617.476074,2617.476074,12655428983
2024-04-05,2617.518555,2719.000977,2570.870361,2634.701416,2634.701416,11453556894
2024-04-06,2634.674072,2646.964111,2543.553467,2626.114258,2626.114258,12038644264
2024-04-07,2626.098145,2688.392578,2618.279297,2654.044922,2654.044922,7087293726
2024-04-08,2654.068604,2739.020996,2647.660156,2735.499268,2735.499268,7866391339
2024-04-09,2735.502441,2945.227051,2697.687500,2919.447754,2919.447754,15054420553
2024-04-10,2919.486328,2942.554688,2727.765869,2764.978027,2764.978027,14419633993
2024-04-11,2764.972168,2840.352051,2688.436768,2826.732910,2826.732910,13458673296
2024-04-12,2826.505615,2880.812256,2774.344482,2792.003418,2792.003418,11212414632
2024-04-13,2792.068848,2833.448975,2492.339844,2603.385254,2603.385254,17744949295
2024-04-14,2603.309814,2648.844727,2297.820801,2412.219971,2412.219971,24026994327
2024-04-15,2412.739502,2548.609619,2339.587891,2533.711182,2533.711182,20454884555
2024-04-16,2533.621338,2623.887939,2432.771240,2491.952881,2491.952881,17616121371
2024-04-17,2491.583496,2513.996582,2411.483887,2481.704102,2481.704102,15639879864
2024-04-18,2481.706787,2513.332764,2348.560059,2396.721436,2396.721436,14222542549
2024-04-19,2396.703613,2487.182129,2373.826660,2465.684082,2465.684082,12210717573
2024-04-20,2465.624268,2514.829102,2314.320801,2473.343994,2473.343994,16492835348
2024-04-21,2473.505371,2563.403320,2443.031494,2552.856445,2552.856445,8018954359
2024-04-22,2552.810791,2585.097656,2522.073730,2543.087891,2543.087891,7590900278
2024-04-23,2543.390869,2614.964844,2527.098145,2592.502441,2592.502441,9768576907
2024-04-24,2592.451172,2621.172119,2552.198730,2585.382813,2585.382813,8876009966
2024-04-25,2585.419434,2648.559570,2493.761963,2520.064209,2520.064209,11236840422
2024-04-26,2519.918945,2550.333496,2456.575195,2523.761963,2523.761963,11184817233
2024-04-27,2523.661621,2533.897461,2490.203857,2506.338623,2506.338623,8505355835
2024-04-28,2505.988037,2626.712646,2459.433838,2604.235352,2604.235352,9465718646
2024-04-29,2604.297363,2651.772705,2601.817871,2608.206543,2608.206543,9096333180
2024-04-30,2607.859863,2624.491455,2489.018066,2560.159912,2560.159912,11968840269
2024-05-01,2560.121826,2587.821289,2335.327148,2411.977051,2411.977051,14626540018
2024-05-02,2410.959473,2417.962891,2254.994141,2369.127930,2369.127930,15958914546
2024-05-03,2369.135498,2405.901611,2308.934326,2382.900146,2382.900146,10497489348
2024-05-04,2382.873047,2491.836182,2357.986328,2473.057617,2473.057617,10249230706
2024-05-05,2473.119141,2524.340332,2467.260742,2484.521484,2484.521484,6601237028
2024-05-06,2484.569580,2526.343750,2451.057617,2501.667480,2501.667480,7003991415
2024-05-07,2501.875732,2560.207764,2426.611328,2438.011719,2438.011719,10355173678
